task,model_stage,algorithm,metric,point_estimate,ci_lower,ci_upper
binary,a,logistic,auprc,0.47699758769083533,0.43164791315959034,0.5301881562303009
binary,a,logistic,auroc,0.7812391656981289,0.7495720124234888,0.8112336839889807
binary,a,lightgbm,auprc,0.47719240378520744,0.42825243778611066,0.5350555478665878
binary,a,lightgbm,auroc,0.7959495653704725,0.7684365249159882,0.8244049508635253
binary,a,xgboost,auprc,0.472849626233419,0.4269613443490187,0.5319791419514392
binary,a,xgboost,auroc,0.7967013424205245,0.7689348285772994,0.8242808750027042
binary,b,logistic,auprc,0.4748909137260525,0.42912829278848363,0.5278183517686358
binary,b,logistic,auroc,0.7841887903485121,0.7521761842912642,0.8161921794085032
binary,b,lightgbm,auprc,0.492445141061741,0.44428914526048524,0.5510177098450201
binary,b,lightgbm,auroc,0.8131587030992615,0.7859775422631342,0.8381506213883019
binary,b,xgboost,auprc,0.49435922084271233,0.44607501055837795,0.5522445206338323
binary,b,xgboost,auroc,0.8099315406848806,0.7824266820527755,0.8354965374887232
binary,c,logistic,auprc,0.47986417277938787,0.4326312617547456,0.5330673399570394
binary,c,logistic,auroc,0.7895527240915354,0.7599734685157234,0.8182589742803449
binary,c,lightgbm,auprc,0.514502055729032,0.46044658939563254,0.5738572263356359
binary,c,lightgbm,auroc,0.8150296130099643,0.7885012565543948,0.8401369977852124
binary,c,xgboost,auprc,0.5108460829398983,0.46273201456568946,0.5706942799810414
binary,c,xgboost,auroc,0.8152891871646419,0.7889734653830278,0.8406646724192183
binary,d,logistic,auprc,0.4858308620024519,0.4389964280507771,0.5384179107115911
binary,d,logistic,auroc,0.7891683028520823,0.7610008776227969,0.8173877995622718
binary,d,lightgbm,auprc,0.5127138391419419,0.46278873231769574,0.5673337415031868
binary,d,lightgbm,auroc,0.8166696905409022,0.7890561637325664,0.8413960850730703
binary,d,xgboost,auprc,0.5007736127340023,0.4539779108194324,0.5538095952859401
binary,d,xgboost,auroc,0.8096028066343202,0.7809381395142326,0.8371690762267184
multiclass,a,logistic,macro_f1,0.43998079432854825,0.3952437022939009,0.4797491751321439
multiclass,a,lightgbm,macro_f1,0.6397348637264327,0.6071884343440402,0.6630764213564047
multiclass,a,xgboost,macro_f1,0.6591491478873354,0.6275043718784201,0.6815948061194634
multiclass,b,logistic,macro_f1,0.4484787321879487,0.40265773976669644,0.48766027637196246
multiclass,b,lightgbm,macro_f1,0.6518310233574739,0.620096019458406,0.6746848927164392
multiclass,b,xgboost,macro_f1,0.6447943686704855,0.61161124965909,0.6686561994289979
multiclass,c,logistic,macro_f1,0.4375613234076181,0.3942214678110815,0.4731156715298226
multiclass,c,lightgbm,macro_f1,0.6519969882465477,0.6202706221064566,0.675457930427675
multiclass,c,xgboost,macro_f1,0.6513033571802128,0.6202147606035907,0.6750758537188085
multiclass,d,logistic,macro_f1,0.43710818628412196,0.3884171254932148,0.4787461646077889
multiclass,d,lightgbm,macro_f1,0.647005642876711,0.6150669102905688,0.6705403671785382
multiclass,d,xgboost,macro_f1,0.6510262346872202,0.6189698882124236,0.6762367401592759
